** Is number a divisible by number b? **
1. Invalid input: Number can't be null.
2. Attempted to divide by zero.
198. [PASS] Is 10021 divisible by 11? Yes
199. [PASS] Is 980441 divisible by 11? Yes
200. [PASS] Is -981905 divisible by 11? No
201. [PASS] Is -8260 divisible by 11? No
202. [PASS] Is -120 divisible by 11? No
203. [PASS] Is -42 divisible by 11? No
204. [PASS] Is -10 divisible by 11? No
205. [PASS] Is 1 divisible by 11? No
206. [PASS] Is 12 divisible by 11? No
207. [PASS] Is 98 divisible by 11? No
208. [PASS] Is 120 divisible by 11? No
209. [PASS] Is 7811 divisible by 11? No
210. [PASS] Is 10121 divisible by 11? No
211. [PASS] Is 981445 divisible by 11? No

